scrapping_date,hotel_name,hotel_address,review_score,review_rating_category,customer_review_count,room_type_block,num_of_days_stayed,date_of_stay,traveller_type,review_score_badge,review_text_positive,review_text_negative,review_date
2022-12-10 07:08:39.409857,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
1 night · 

July 2022

","
July 2022
","
Couple
", 10 ,"Service and amenities are exceptional.  The breakfast was delicious - the menu is tasty, with something for everyone.  Location couldn't be better - overlooking the Commons and next to Back Bay.","Nothing to complain about at all - we will be returning soon, I'm certain.","
July 2022
"
2022-12-10 07:08:39.456898,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room - Disability Access
","
3 nights · 

July 2022

","
July 2022
","
Family
", 10 ,"Beautiful and classy. Rooms were high-end, spacious and comfortable",spa facilities would have been an added bonus,"
July 2022
"
2022-12-10 07:08:39.541375,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
2 nights · 

July 2022

","
July 2022
","
Group
", 10 ,"The beautiful building, the quiet location, the nicely decorated rooms.",N/A,"
July 2022
"
2022-12-10 07:08:39.574559,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room with Garden View
","
5 nights · 

July 2022

","
July 2022
","
Couple
", 10 ,"Fantastic rooms in terms of size, quality of finish and amenities. Great gym. Good buzzy restaurants.",We liked everything. It was a great hotel.,"
July 2022
"
2022-12-10 07:08:39.617531,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
2 nights · 

July 2022

","
July 2022
","
Couple
", 10 ,excellent service and friendly,beautiful and great location,"
July 2022
"
2022-12-10 07:08:39.654524,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
3 nights · 

July 2022

","
July 2022
","
Family
", 9.0 ,"Room was huge, bathroom as on the smaller size but large shower. Slept very well - bed and sheets and pillows were very comfortable.  Our room had a park view which was very nice.",N/A,"
July 2022
"
2022-12-10 07:08:39.701546,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room with Garden View
","
2 nights · 

July 2022

","
July 2022
","
Family
", 10 ,location was excellent,crowded,"
July 2022
"
2022-12-10 07:08:39.744555,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
2 nights · 

July 2022

","
July 2022
","
Couple
", 10 ,Best service in Boston.,N/A,"
July 2022
"
2022-12-10 07:08:39.784567,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room with Garden View
","
2 nights · 

July 2022

","
July 2022
","
Family
", 9.0 ,"Everything about the property is upscale and five star. The beds, linens, decor and service are top notch. The style is a modernized version of classic, and so beautifully done. The gym is also well equipped and clean. It is THE most central location to shops and restaurants in Boston and can not be beat.","For some reason, we had a key issue upon arriving. The card did not work to one of our two rooms, so they had to be programmed twice. It took an hour each time, which can make a difference to tired travelers, but once it was resolved, everything else was more than great. There isn't a pool, but we did not go to Boston to swim, so it's nothing we were concerned about.","
July 2022
"
2022-12-10 07:08:39.824941,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
1 night · 

July 2022

","
July 2022
","
Group
", 8.0 ,Very good,Nothing really,"
July 2022
"
2022-12-10 07:08:42.102425,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room with Garden View
","
4 nights · 

June 2022

","
June 2022
","
Couple
", 10 ,The Newbury was everything I hope it would be from the second we stepped out of our taxi until we left. The service was first class and all the staff were exceedingly helpful. It's an expensive hotel (for me anyway) so we booked one of the smallest rooms but we were not disappointed. It was very spacious and very comfortable. The bathroom was palatial. We had dinner in the Contessa restaurant on one night which was a special experience.,Nothing at all,"
June 2022
"
2022-12-10 07:08:42.143239,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
1 night · 

July 2022

","
July 2022
","
Group
", 10 ,"super comfortable rooms, clean and great staff.",it was awesome no complaints,"
July 2022
"
2022-12-10 07:08:42.191588,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
1 night · 

July 2022

","
July 2022
","
Family
", 8.0 ,I Like this,N/A,"
July 2022
"
2022-12-10 07:08:42.224031,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
1 night · 

July 2022

","
July 2022
","
Couple
", 9.0 ,"convenient location
warm staff
clean",nothing,"
July 2022
"
2022-12-10 07:08:42.264790,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
1 night · 

June 2022

","
June 2022
","
Family
", 9.0 ,"Great location, delicious breakfast",I couldn't have been happier,"
June 2022
"
2022-12-10 07:08:42.343631,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
3 nights · 

May 2022

","
May 2022
","
Family
", 9.0 ,Very attentive and kind staff. Will come back.,Too noicy in the Contessa Restaurant.,"
May 2022
"
2022-12-10 07:08:42.373361,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room with Garden View
","
3 nights · 

May 2022

","
May 2022
","
Group
", 10 ,"Stunning design in the main ground floor
Beautiful view from bedroom
first class concierge,one of the best ever",coffee served in the morning downstairs but not tea,"
May 2022
"
2022-12-10 07:08:42.402669,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
2 nights · 

May 2022

","
May 2022
","
Couple
", 8.0 ,"Very good location near the Boston Common, about half an hour from the old town and the seaport beyond. Our room was a Park View with King bed. We enjoyed the wonderfully soft bed linen as well as the sitting area. Huge TV too! Large shower and great that the toilet had a water fountain facility. Great Nespresso machine.","There was no AC?!?!? When you put it on, all you had was air blowing but no cooling 😝😝😝 Very surprising for a room of this quality","
May 2022
"
2022-12-10 07:08:42.435866,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room - Disability Access
","
2 nights · 

May 2022

","
May 2022
","
Couple
", 8.0 ,"the gym, the. concierge, the breakfasts were good",the reception check in area is small and we had to queue as only one staff member on duty.  no kettles in the rooms for making tea only coffee.  The breakfast restaurant is open to the public and dark in design.,"
May 2022
"
2022-12-10 07:08:42.476243,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
3 nights · 

May 2022

","
May 2022
","
Couple
", 9.0 ,Contessa was disappointing,N/A,"
May 2022
"
2022-12-10 07:08:44.735567,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room - Disability Access
","
1 night · 

April 2022

","
April 2022
","
Group
", 10 ,"spotlessly clean, with the most attentive staff and gorgeous surroundings",N/A,"
April 2022
"
2022-12-10 07:08:44.790690,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
1 night · 

April 2022

","
April 2022
","
Couple
", 9.0 ,"Great Location, and the room was comfortable. The shower experience was good as well, the water pressure was powerful.","The TV was a little bit old and wasn't a smart tv, it could be newer machine at this level of hotel.","
April 2022
"
2022-12-10 07:08:44.832958,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
3 nights · 

April 2022

","
April 2022
","
Family
", 10 ,John-Paul the concierge was amazing. Always there to help!,N/A,"
April 2022
"
2022-12-10 07:08:44.879794,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room with Garden View
","
3 nights · 

April 2022

","
April 2022
","
Family
", 10 ,"Beautiful property, friendly staff, highly recommend if you have money to spare!","The price was way out of our budget but my husband was running the marathon and there were no other rooms available in the city so we were stuck with the outrageous prices. :( Family with 4 small children, we could have done alot with that money.","
April 2022
"
2022-12-10 07:08:44.916548,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
1 night · 

April 2022

","
April 2022
","
Couple
", 10 ,the staff.  they made sure everything was over and above on so many occasions!,the window noise. need replacement.,"
April 2022
"
2022-12-10 07:08:44.952472,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
1 night · 

April 2022

","
April 2022
","
Solo traveler
", 10 ,"Excellent location, very elegant hotel. Great attention to detail.",N/A,"
April 2022
"
2022-12-10 07:08:44.985653,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
1 night · 

March 2022

","
March 2022
","
Couple
", 10 ,Everyone here is so kind and the location is excellent!,The room and the door were like not that soundproof.,"
March 2022
"
2022-12-10 07:08:45.034895,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
2 nights · 

February 2022

","
February 2022
","
Group
", 9.0 ,Great attention to detail from the General Manager to the Housekeeping team. Amazing rooms. Contessa not to be missed for Breakfast/Brunch. Location 10/10.,N/A,"
February 2022
"
2022-12-10 07:08:45.069014,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room
","
3 nights · 

January 2022

","
January 2022
","
Couple
", 10 ,location,N/A,"
January 2022
"
2022-12-10 07:08:45.110031,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
1 night · 

January 2022

","
January 2022
","
Couple
", 10 ,Breakfast in the room was good but I think the basket of pastries should have had Four pastries for two people rather than three,Breakfast,"
January 2022
"
2022-12-10 07:08:47.489492,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
1 night · 

December 2021

","
December 2021
","
Family
", 8.0 ,Very nice renovation. Staff were great.,N/A,"
December 2021
"
2022-12-10 07:08:47.539628,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room
","
1 night · 

December 2021

","
December 2021
","
Family
", 10 ,David and Joe were phenomenal!,N/A,"
December 2021
"
2022-12-10 07:08:47.579400,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
3 nights · 

November 2021

","
November 2021
","
Solo traveler
", 9.0 ,"Lenzy the porter, he is very welcoming and he makes you feel home greeting me with my name every morning when I go out and every afternoon coming back to the hotel",the restaurant needs some menu enhancement,"
November 2021
"
2022-12-10 07:08:47.616093,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
1 night · 

August 2021

","
August 2021
","
Solo traveler
", 10 ,Well appointed with top notch customer service. Wonderful location. Have been to Boston quite a bit and will not stay anywhere else!!!,N/A,"
August 2021
"
2022-12-10 07:08:47.659818,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
1 night · 

October 2021

","
October 2021
","
Group
", 10 ,"Exceptional Hotel, fantastic staff, wonderful design of the rooms. I will definitely return!",N/A,"
October 2021
"
2022-12-10 07:08:47.696028,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
1 night · 

September 2021

","
September 2021
","
Couple
", 10 ,"The room was lovely, and the location was excellent.  All of the small details were so thoughtfully appointed that it really made the stay enjoyable.  The restaurant and bar were terrific too, this will definitely be our new go-to hotel in Boston.","I really don't have any complaints, everything was terrific.","
September 2021
"
2022-12-10 07:08:47.726508,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
2 nights · 

August 2021

","
August 2021
","
Solo traveler
", 9.0 ,Location is great.,No turn down service.,"
August 2021
"
2022-12-10 07:08:47.771418,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
2 nights · 

September 2021

","
September 2021
","
Couple
", 10 ,"Beautiful hotel, attentive staff, comfy bed and suite. Gave us an upgrade to a suite and delivered us Champaign and a chocolate cake for our honeymoon.  Highly recommended!  Wonderful location across from the Public Garden.","Nothing, loved it all.","
September 2021
"
2022-12-10 07:08:47.809257,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Deluxe Suite
","
3 nights · 

October 2022

","
October 2022
","
Family
", 4.0 ,decor and concierge,check in very poor mix up re booking,"
October 2022
"
2022-12-10 07:08:47.843718,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
4 nights · 

October 2022

","
October 2022
","
Couple
", 7.0 ,"quiet, clean, good location, front deck and doormen are good",Some personnel at the restaurant (place for breakfast)have not good services to us (their behavior are not good-I noticed the front desk at the moment).,"
October 2022
"
2022-12-10 07:08:50.151509,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
4 nights · 

October 2022

","
October 2022
","
Couple
", 5.0 ,Location and rooms,Service,"
October 2022
"
2022-12-10 07:08:50.194499,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
1 night · 

September 2022

","
September 2022
","
Group
", 7.0 ,Location.,Understaffed so massive cues at check in and a disaster getting taxis outside.  Not the staffs fault just you dont have enough of them,"
September 2022
"
2022-12-10 07:08:50.235734,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
2 nights · 

June 2022

","
June 2022
","
Couple
", 4.0 ,Good location,"Poor valet service. Takes 45 minutes to get my car, employees promise 15-20. Didn't refund valet charge neither despite promise. 
Overall looks more like a spacious three star than a five.","
June 2022
"
2022-12-10 07:08:50.281693,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Deluxe Suite
","
2 nights · 

May 2022

","
May 2022
","
Family
", 6.0 ,Great location,"We took a suite that cost us $1750 / night, we've expected to have a nice view of either the park or streets. Instead of that we got a really poor view of the AC units inside the hotel. We had to keep the shades close most of the day as it was so ugly.","
May 2022
"
2022-12-10 07:08:50.326612,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room with Garden View
","
10 nights · 

May 2022

","
May 2022
","
Couple
", 4.0 ,location,"small rooms , small closet , noisy air-condition 
uncomfortable bed .","
May 2022
"
2022-12-10 07:08:50.359263,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Deluxe King Suite
","
6 nights · 

February 2022

","
February 2022
","
Couple
", 4.0 ,Fireplace was not operating as per description when we made the booking. We needed to upgrade the room for additional costs to get what we where expecting to have before we started the journey,N/A,"
February 2022
"
2022-12-10 07:08:50.407760,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room - Disability Access
","
1 night · 

April 2022

","
April 2022
","
Solo traveler
", 5.0 ,the room is pretty and the location was nice.  The bellman was lovely.,"Long, curly black hair on the towel in the bathroom.  Room service order completely screwed up.  Screw up at check in where they told me that they had marked me as a no show.","
April 2022
"
2022-12-10 07:08:50.440237,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
1 night · 

October 2021

","
October 2021
","
Solo traveler
", 5.0 ,"very few amenities, very expensive for a basic room",N/A,"
October 2021
"
2022-12-10 07:08:50.473167,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
2 nights · 

August 2021

","
August 2021
","
Solo traveler
", 7.0 ,Location.,Overpriced for what it is,"
August 2021
"
2022-12-10 07:08:52.776728,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
3 nights · 

November 2022

","
November 2022
","
Couple
", 10 ,Freundlichkeit des Personals,,"
November 2022
"
2022-12-10 07:08:52.825744,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room with Garden View
","
2 nights · 

August 2022

","
August 2022
","
Family
", 10 ,"Stanza spaziosa, con vista molto bella.
Bagno piccolo ma ben organizzato e ben pulito. 
Letti comodi",,"
August 2022
"
2022-12-10 07:08:52.858119,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
2 nights · 

August 2022

","
August 2022
","
Family
", 9.0 ,ubicacio excellent i hotel molt confortable,,"
August 2022
"
2022-12-10 07:08:52.945310,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room
","
1 night · 

July 2022

","
July 2022
","
Family
", 9.0 ,livello di pulizia,,"
July 2022
"
2022-12-10 07:08:52.989257,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Suite
","
2 nights · 

May 2022

","
May 2022
","
Couple
", 10 ,"Unglaublich bemühtes Team, ein wirklich schönes Hotel  , die Rezeption , tolles Gym, sowie ein wunderschönes , sauberes und ruhiges Zimmer",,"
May 2022
"
2022-12-10 07:08:53.032241,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
2 nights · 

April 2022

","
April 2022
","
Family
", 10 ,"la posizione, la vista, i letti molto comodi",,"
April 2022
"
2022-12-10 07:08:53.072176,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
1 night · 

March 2022

","
March 2022
","
Family
", 8.0 ,en general todo,,"
March 2022
"
2022-12-10 07:08:53.121331,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
2 nights · 

October 2021

","
October 2021
","
Solo traveler
", 10 ,Me hubiese encantado que el desayuno Continental hubiese estado incluido. Me hicieron mi estadía agradable ! Boston es precioso !,,"
October 2021
"
2022-12-10 07:08:53.160750,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
7 nights · 

July 2022

","
July 2022
","
Couple
", 7.0 ,al sesto piano ristagnava odore di mangiare,,"
July 2022
"
2022-12-10 07:08:53.194603,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room
","
2 nights · 

April 2022

","
April 2022
","
Family
", 6.0 ,"Frühstück (Roomservice) schmeckte fantastisch, Lage ist top, Upgrade, Personal freundlich",,"
April 2022
"
2022-12-10 07:08:55.466431,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room
","
3 nights · 

April 2022

","
April 2022
","
Family
", 7.0 ,Demasiado caro para el servicio ofrecido.,,"
April 2022
"
2022-12-10 07:08:55.507170,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
5 nights · 

October 2021

","
October 2021
","
Couple
", 7.0 ,Su ubicación,,"
October 2021
"
2022-12-10 07:08:55.547545,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
2 nights · 

December 2022

","
December 2022
","
Couple
", 9.0 ,There are no comments available for this review,N/A,"
December 2022
"
2022-12-10 07:08:55.581021,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room with Garden View
","
1 night · 

November 2022

","
November 2022
","
Couple
", 10 ,There are no comments available for this review,N/A,"
November 2022
"
2022-12-10 07:08:55.615080,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Standard King Room
","
2 nights · 

November 2022

","
November 2022
","
Couple
", 10 ,There are no comments available for this review,N/A,"
November 2022
"
2022-12-10 07:08:55.639908,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
King Room
","
2 nights · 

November 2022

","
November 2022
","
Couple
", 10 ,There are no comments available for this review,N/A,"
November 2022
"
2022-12-10 07:08:55.672520,The Newbury Boston,"
1 Newbury Street, Back Bay, Boston, MA 02116, United States of America
",9.1,Wonderful ,178 reviews,"
Double Room
","
3 nights · 

November 2022

","
November 2022
","
Family
", 10 ,There are no comments available for this review,N/A,"
November 2022
"
